28.966300000	172.17.0.2	172.17.0.3
29.174516000	172.17.0.2	172.17.0.3
29.385734000	172.17.0.2	172.17.0.3
29.568213000	172.17.0.2	172.17.0.3
29.766652000	172.17.0.2	172.17.0.3
29.974219000	172.17.0.2	172.17.0.3
30.182311000	172.17.0.2	172.17.0.3
30.373119000	172.17.0.2	172.17.0.3
30.570768000	172.17.0.2	172.17.0.3
30.770854000	172.17.0.2	172.17.0.3
30.976440000	172.17.0.2	172.17.0.3
31.174175000	172.17.0.2	172.17.0.3
31.381438000	172.17.0.2	172.17.0.3
31.573803000	172.17.0.2	172.17.0.3
31.775691000	172.17.0.2	172.17.0.3
31.974120000	172.17.0.2	172.17.0.3
32.171441000	172.17.0.2	172.17.0.3
32.364936000	172.17.0.2	172.17.0.3
32.573126000	172.17.0.2	172.17.0.3
32.766337000	172.17.0.2	172.17.0.3
32.968041000	172.17.0.2	172.17.0.3
33.169659000	172.17.0.2	172.17.0.3
33.379425000	172.17.0.2	172.17.0.3
33.574185000	172.17.0.2	172.17.0.3
33.774775000	172.17.0.2	172.17.0.3
33.970895000	172.17.0.2	172.17.0.3
34.175029000	172.17.0.2	172.17.0.3
34.365419000	172.17.0.2	172.17.0.3
34.615381000	172.17.0.2	172.17.0.3
34.778351000	172.17.0.2	172.17.0.3
34.977686000	172.17.0.2	172.17.0.3
35.174853000	172.17.0.2	172.17.0.3
35.368601000	172.17.0.2	172.17.0.3
35.573497000	172.17.0.2	172.17.0.3
35.771873000	172.17.0.2	172.17.0.3
35.977860000	172.17.0.2	172.17.0.3
36.174948000	172.17.0.2	172.17.0.3
36.373184000	172.17.0.2	172.17.0.3
36.573919000	172.17.0.2	172.17.0.3
36.783072000	172.17.0.2	172.17.0.3
36.978232000	172.17.0.2	172.17.0.3
37.175101000	172.17.0.2	172.17.0.3
37.367967000	172.17.0.2	172.17.0.3
37.567182000	172.17.0.2	172.17.0.3
37.774368000	172.17.0.2	172.17.0.3
37.964780000	172.17.0.2	172.17.0.3
38.171756000	172.17.0.2	172.17.0.3
38.372633000	172.17.0.2	172.17.0.3
38.576512000	172.17.0.2	172.17.0.3
38.771514000	172.17.0.2	172.17.0.3
38.979126000	172.17.0.2	172.17.0.3
39.166493000	172.17.0.2	172.17.0.3
39.370467000	172.17.0.2	172.17.0.3
39.590760000	172.17.0.2	172.17.0.3
39.779136000	172.17.0.2	172.17.0.3
39.977781000	172.17.0.2	172.17.0.3
40.169847000	172.17.0.2	172.17.0.3
40.375200000	172.17.0.2	172.17.0.3
40.577276000	172.17.0.2	172.17.0.3
40.779945000	172.17.0.2	172.17.0.3
40.981609000	172.17.0.2	172.17.0.3
41.166924000	172.17.0.2	172.17.0.3
41.367629000	172.17.0.2	172.17.0.3
41.572378000	172.17.0.2	172.17.0.3
41.768337000	172.17.0.2	172.17.0.3
41.967418000	172.17.0.2	172.17.0.3
42.167121000	172.17.0.2	172.17.0.3
42.366051000	172.17.0.2	172.17.0.3
42.567679000	172.17.0.2	172.17.0.3
42.766575000	172.17.0.2	172.17.0.3
42.972356000	172.17.0.2	172.17.0.3
43.168830000	172.17.0.2	172.17.0.3
43.374452000	172.17.0.2	172.17.0.3
43.573333000	172.17.0.2	172.17.0.3
43.780010000	172.17.0.2	172.17.0.3
43.980881000	172.17.0.2	172.17.0.3
44.172583000	172.17.0.2	172.17.0.3
44.377958000	172.17.0.2	172.17.0.3
44.570075000	172.17.0.2	172.17.0.3
44.767061000	172.17.0.2	172.17.0.3
44.969142000	172.17.0.2	172.17.0.3
45.166932000	172.17.0.2	172.17.0.3
45.379724000	172.17.0.2	172.17.0.3
45.578526000	172.17.0.2	172.17.0.3
45.769799000	172.17.0.2	172.17.0.3
45.970371000	172.17.0.2	172.17.0.3
46.166208000	172.17.0.2	172.17.0.3
46.380223000	172.17.0.2	172.17.0.3
46.617119000	172.17.0.2	172.17.0.3
46.784386000	172.17.0.2	172.17.0.3
46.981941000	172.17.0.2	172.17.0.3
47.174373000	172.17.0.2	172.17.0.3
47.381303000	172.17.0.2	172.17.0.3
47.586165000	172.17.0.2	172.17.0.3
47.767327000	172.17.0.2	172.17.0.3
47.970607000	172.17.0.2	172.17.0.3
48.173421000	172.17.0.2	172.17.0.3
48.366194000	172.17.0.2	172.17.0.3
48.576629000	172.17.0.2	172.17.0.3
48.765599000	172.17.0.2	172.17.0.3
48.975655000	172.17.0.2	172.17.0.3
49.175846000	172.17.0.2	172.17.0.3
49.367044000	172.17.0.2	172.17.0.3
49.567550000	172.17.0.2	172.17.0.3
49.766840000	172.17.0.2	172.17.0.3
49.977243000	172.17.0.2	172.17.0.3
50.172744000	172.17.0.2	172.17.0.3
50.372138000	172.17.0.2	172.17.0.3
50.567291000	172.17.0.2	172.17.0.3
50.767013000	172.17.0.2	172.17.0.3
50.974832000	172.17.0.2	172.17.0.3
51.179423000	172.17.0.2	172.17.0.3
51.390206000	172.17.0.2	172.17.0.3
51.590901000	172.17.0.2	172.17.0.3
51.767796000	172.17.0.2	172.17.0.3
51.967363000	172.17.0.2	172.17.0.3
52.177758000	172.17.0.2	172.17.0.3
52.368254000	172.17.0.2	172.17.0.3
52.578815000	172.17.0.2	172.17.0.3
52.775661000	172.17.0.2	172.17.0.3
52.975454000	172.17.0.2	172.17.0.3
53.164938000	172.17.0.2	172.17.0.3
53.368369000	172.17.0.2	172.17.0.3
53.566458000	172.17.0.2	172.17.0.3
53.766615000	172.17.0.2	172.17.0.3
53.972701000	172.17.0.2	172.17.0.3
54.171366000	172.17.0.2	172.17.0.3
54.372966000	172.17.0.2	172.17.0.3
54.574875000	172.17.0.2	172.17.0.3
